Price,Area,Price per cent,Location,Latitude,Longitude,distance_to_technopark,distance_to_agasthyamalai_hills,distance_to_ponmudi_hills,distance_to_nearest_beach,distance_to_nearest_lake,density,price_to_price_per_cent_ratio,beach_proximity,lake_proximity,Unnamed: 0,Url
2500000.0,5.0,500000.0,kachani,8.5526,76.9945,17.21477248,42.49269778,46.67588702,15.66521024,14.07399545,Low,5.0,Inland,Inland,,
18000000.0,16.99724518,1058995.138,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,High,16.997245175265384,Inland,Inland,,
7600000.0,7.998163453,950218.14,puliyarakonam,8.5399,77.0176,20.788535,42.973616,47.156809,17.943719,17.133328,Low,7.998163453288736,Inland,Inland,,
82500000.0,66.98806244,1231562.714,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,Low,66.98806245282285,Inland,Inland,,
10000000.0,5.99862259,1667049.368,ulloor,8.53,76.9289,9.111596,49.531731,53.714924,6.992217,5.401007,High,5.998622591481646,Inland,Inland,,
25800000.0,21.99724518,1172874.139,vattiyoorkavu,8.5242,76.9881,16.515234,46.077624,50.260817,12.939844,12.129453,Low,21.997245179263007,Inland,Inland,,
25000000.0,25.0,1000000.0,balaramapuram,8.4321,77.0503,28.722221,51.713743,55.896936,10.107014,7.286278,Low,25.0,Inland,Inland,,
79100000.0,225.9641873,350055.4709,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,High,225.9641873233183,Inland,Inland,,
11600000.0,10.99862259,1054677.52,karyavattom,8.5678,76.8908,2.866703,52.08072,56.263913,5.540415,9.009202,Low,10.998622593188484,Inland,Inland,,
4000000.0,8.999081726,444489.7959,pravachambalam,8.4494,77.0115,23.16121,54.077387,58.26058,9.69703,4.605345,Low,8.999081726726317,Inland,Inland,,
7200000.0,6.999540863,1028638.898,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,6.999540863172763,Inland,Inland,,
8250000.0,10.99862259,750093.9261,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,Low,10.998622589699703,Inland,Inland,,
3000000.0,3.999081726,750172.2159,kunnapuzha,8.4912,76.9963,19.593986,49.915616,54.098809,11.672219,9.947392,Low,3.999081726055165,Inland,Inland,,
9000000.0,19.99770432,450051.6587,vattappara,8.5927,76.9499,12.137705,42.670325,46.853518,14.811417,15.145692,Low,19.99770432131506,Inland,Inland,,
2600000.0,5.0,520000.0,pangappara,8.5587,76.898,4.164973,51.468139,55.651332,6.838685,8.480528,Low,5.0,Inland,Inland,,
8400000.0,6.999540863,1200078.714,cheruvikka,8.9066,76.8015,40.40905011,68.51878628,71.18403276,22.73098559,33.9358138,Low,6.999540865116953,Inland,Inland,,
5300000.0,6.999540863,757192.5222,alathara,8.5326,76.8983,6.901241,53.108384,57.291577,6.638185,4.550691,Low,6.999540862607848,Inland,Inland,,
11500000.0,4.997704316,2296375.5430500004,sreevaraham,8.4776,76.942,14.170828,53.174086,57.357279,5.036668,7.29075,Low,4.997704315387302,Inland,Inland,,
9900000.0,21.99724518,450056.3556,neyyattinkara,8.4027,77.0861,33.284209,54.674092,58.857285,11.435348,11.848266,Low,21.997245182332005,Inland,Inland,,
19800000.0,10.99862259,1800225.423,pattom,8.5207,76.9423,11.838466,48.973988,53.157181,7.873973,6.282763,Low,10.998622587500254,Inland,Inland,,
8000000.0,50.0,160000.0,pothencode,8.6195,76.8987,8.680096,47.789459,51.972652,11.139722,14.389154,Low,50.0,Inland,Inland,,
400000.0,5.0,80000.0,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,Low,5.0,Inland,Inland,,
20400000.0,9.997704316,2040468.427,vellayambalam,8.5086,76.9657,14.934039,48.781893,52.965086,9.77404,9.187967,Low,9.997704316353042,Inland,Inland,,
3000000.0,5.509641873,544500.0,mangattukonam,8.5921,76.8937,5.847951,51.056459,55.239652,8.521663,12.06546,Low,5.509641873278237,Inland,Inland,,
16800000.0,28.00734619,599842.6229,chittazha,8.5803,76.9456,10.70382784,44.020858,48.20404724,13.37754243,12.73452726,Low,28.0073461915372,Inland,Inland,,
3500000.0,3.999081726,875200.9186,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,3.999081725826698,Inland,Inland,,
